time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
103050,3.011906,7.459136,5.014656,0.077008,0.282983,0.137495
103150,3.639187,7.322666,4.562151,-0.261666,0.219032,0.069280
103250,3.472790,7.806294,5.215768,-0.370383,0.070080,0.022916
103350,4.416105,8.000225,4.449624,-0.090597,0.090864,0.119642
103450,4.217386,7.514202,8.438364,-0.002665,-0.868668,-0.189188
103550,2.251747,7.903260,5.685032,0.532392,-0.561436,-0.119109
103650,3.084929,5.969942,8.726865,-0.059421,-0.038371,-0.005063
103750,3.148375,5.975927,4.276044,0.097525,-0.192919,-0.203311
103850,3.447650,6.509834,6.080075,0.141492,-0.143890,-0.192919
103950,4.132392,6.593631,5.267244,0.162542,-0.313093,-0.240083
104050,5.124789,7.463924,4.574122,0.118842,-0.248876,-0.136695
104150,5.357026,8.148665,9.248801,-0.100723,-0.189721,-0.049828
104250,3.640384,6.470330,3.702633,-0.009593,-0.815375,-0.393299
104350,1.884237,8.920795,5.996278,-0.042368,0.101522,-0.051161
104450,2.321178,7.607576,4.581305,-0.248077,-0.731440,-0.423675
104550,2.989161,7.852982,5.303157,-0.332545,-0.637378,-0.539853
104650,4.238934,7.187394,5.487510,-0.468175,-0.549179,-0.512674
