Epoch_TimeStamp,temperature
1678059780000,23.375
1678059840000,23.375
1678059900000,23.375
1678059960000,23.375
1678060020000,23.25
1678060080000,23.313
1678060140000,23.25
1678060200000,23.25
1678060260000,23.188
1678060320000,23.25
1678060380000,23.188
1678060440000,23.188
1678060500000,23.188
1678060560000,23.188
1678060620000,23.188
1678060680000,23.188
1678060740000,23.125
1678060800000,23.125
1678060860000,23.125
1678060920000,23.125
1678060980000,23.063
1678061040000,22.938
1678061100000,22.938
1678061160000,23
1678061220000,22.938
1678061280000,23
1678061340000,23
1678061400000,22.938
1678061460000,23.063
1678061520000,23.063
1678061580000,23.063
1678061640000,23.125
1678061700000,23.188
1678061760000,23.188
1678061820000,23.188
1678061880000,23.125
1678061940000,23.188
1678062000000,23.25
1678062060000,23.25
1678062120000,23.25
1678062180000,23.25
1678062240000,23.25
1678062300000,23.313
1678062360000,23.25
1678062420000,23.25
1678062480000,23.313
1678062540000,23.25
1678062600000,23.375
1678062660000,23.375
1678062720000,23.375
1678062780000,23.375
1678062840000,23.375
1678062900000,23.375
1678062960000,23.438
1678063020000,23.5
1678063080000,23.438
1678063140000,23.438
1678063200000,23.438
1678063260000,23.438
1678063320000,23.5
1678063380000,23.438
1678063440000,23.313
1678063500000,23.188
1678063560000,23.125
1678063620000,23.188
1678063680000,23.125
1678063740000,23.125
1678063800000,23.125
1678063860000,23.125
1678063920000,23.125
1678063980000,23.125
1678064040000,23.063
1678064100000,23
1678064160000,23.063
1678064220000,23
1678064280000,23
1678064340000,23
1678064400000,23
1678064460000,23
1678064520000,22.875
1678064580000,22.938
1678064640000,22.875
1678064700000,22.938
1678064760000,22.875
1678064820000,22.875
1678064880000,22.938
1678064940000,22.875
1678065000000,22.875
1678065060000,22.938
1678065120000,22.875
1678065180000,22.875
1678065240000,22.938
1678065300000,22.938
1678065360000,22.938
1678065420000,22.938
1678065480000,22.875
1678065540000,22.875
1678065600000,22.875
1678065660000,22.813
1678065720000,22.688
1678065780000,22.688
1678065840000,22.688
1678065900000,22.688
1678065960000,22.688
1678066020000,22.75
1678066080000,22.75
1678066140000,22.688
1678066200000,22.688
1678066260000,22.75
1678066320000,22.688
1678066380000,22.75
1678066440000,22.688
1678066500000,22.688
1678066560000,22.688
1678066620000,22.625
1678066680000,22.625
1678066740000,22.625
1678066800000,22.688
1678066860000,22.688
1678066920000,22.625
1678066980000,22.625
1678067040000,22.688
1678067100000,22.688
1678067160000,22.688
1678067220000,22.625
1678067280000,22.625
1678067340000,22.625
1678067400000,22.563
1678067460000,22.563
1678067520000,22.625
1678067580000,22.625
1678067640000,22.688
1678067700000,22.75
